Date,Open,High,Low,Close,Adj Close,Volume,Log Returns,RSI,ATR
2013-01-02,77.5,78.66999816894531,77.02999877929688,78.0999984741211,78.0999984741211,872600,0.02410380598200377,75.29289897621648,1.7797337099837789
2013-01-03,78.0,78.95999908447266,77.37000274658203,77.9800033569336,77.9800033569336,558500,-0.0015376107050394322,74.46264440694374,1.7661810405485536
2013-01-04,78.30999755859375,78.30999755859375,77.36000061035156,77.5999984741211,77.5999984741211,702800,-0.004885019077313747,71.76382921817176,1.7078821768123846
2013-01-07,77.18000030517578,77.66999816894531,76.7300033569336,77.4000015258789,77.4000015258789,562200,-0.0025806072159059576,70.31929421923985,1.6530330793266228
2013-01-08,77.54000091552734,77.56999969482422,76.27999877929688,77.19999694824219,77.19999694824219,482300,-0.002587382809690863,68.82724180118771,1.6271022104838173
2013-01-09,77.5,78.75,77.33000183105469,78.5999984741211,78.5999984741211,872100,0.01797226252175493,73.12576218299102,1.6215951277176741
2013-01-10,79.02999877929688,79.19999694824219,78.44999694824219,79.0,79.0,953400,0.005076172445078493,74.21959589077767,1.5593383328806973
2013-01-11,79.0,79.0199966430664,78.08999633789062,78.38999938964844,78.38999938964844,572100,-0.007751492052480325,69.56924481993723,1.5143856166160605
2013-01-14,78.27999877929688,78.80000305175781,77.73999786376953,78.18000030517578,78.18000030517578,423900,-0.0026824961462305163,67.989877210089,1.4819298717140763
2013-01-15,77.7300033569336,78.70999908447266,77.68000030517578,78.31999969482422,78.31999969482422,282600,0.0017891300574199172,68.50324099685791,1.449649079398562
2013-01-16,78.27999877929688,78.4800033569336,77.94000244140625,78.33999633789062,78.33999633789062,247800,0.0002552871655995126,68.58074949937335,1.3846742105506178
2013-01-17,78.55999755859375,79.0999984741211,78.48999786376953,78.94999694824219,78.94999694824219,907600,0.0077564205560098545,70.9307860921935,1.3400547766706072
2013-01-18,78.88999938964844,79.05000305175781,78.45999908447266,78.83000183105469,78.83000183105469,566200,-0.0015210437476317622,69.82440677948208,1.2864797188573607
2013-01-22,79.1500015258789,79.1500015258789,78.48999786376953,78.81999969482422,78.81999969482422,395900,-0.0001268904046569454,69.72677690323113,1.2417314290896473
2013-01-23,78.41999816894531,79.13999938964844,78.41999816894531,78.94999694824219,78.94999694824219,428300,0.001647934152288603,70.30786634638596,1.2044649856334673
2013-01-24,79.0999984741211,79.77999877929688,78.83999633789062,79.22000122070312,79.22000122070312,753200,0.00341410555545777,71.53020030879186,1.1855748039029517
2013-01-25,79.61000061035156,80.75,79.1500015258789,80.68000030517578,80.68000030517578,928500,0.01826190926575909,77.03540931320046,1.215176494632819
2013-01-28,80.66000366210938,82.81999969482422,80.4800033569336,82.23999786376953,82.23999786376953,1038100,0.019151058862732953,81.21518000504584,1.2955207691512336
2013-01-29,82.06999969482422,82.23999786376953,81.08999633789062,81.5,81.5,561400,-0.009038755484472596,74.3062568470217,1.2851265374889245
2013-01-30,81.45999908447266,82.19999694824219,81.05000305175781,81.62999725341797,81.62999725341797,587300,0.0015937875697236285,74.71321998705642,1.2754742059885995
2013-01-31,81.44000244140625,81.94000244140625,77.97000122070312,77.97000122070312,77.97000122070312,2691200,-0.04587265483897052,50.47370206132912,1.4679404213253515
2013-02-01,78.05999755859375,78.77999877929688,76.77999877929688,78.04000091552734,78.04000091552734,1907800,0.0008973745088541689,50.802455396838354,1.5059446769449691
2013-02-04,77.58000183105469,78.38999938964844,76.58999633789062,76.66999816894531,76.66999816894531,626900,-0.017711053797905194,44.567132247212896,1.5269488465744578
2013-02-05,77.26000213623047,83.55000305175781,77.26000213623047,81.52999877929688,81.52999877929688,2305500,0.061460562013859056,62.26214953800706,1.9093099920200323
2013-02-06,78.06999969482422,82.1500015258789,78.06999969482422,81.05000305175781,81.05000305175781,970100,-0.0059047498679138544,60.21762194334945,2.064359409093936
2013-02-07,80.70999908447266,82.61000061035156,78.79000091552734,80.62999725341797,80.62999725341797,1183800,-0.005195531201555429,58.41019755077729,2.1897622866460993
2013-02-08,80.5,81.66999816894531,80.0199966430664,80.88999938964844,80.88999938964844,410900,0.0032194448515009354,59.22607581446329,2.1512079465913
2013-02-11,80.55999755859375,80.55999755859375,79.18000030517578,79.30999755859375,79.30999755859375,365200,-0.01972600617226426,52.48761507051186,2.0961214685074903
